cycle	observedAtUtc	portraitState	landscapeState	httpStatus	safariProcess	playAction
1	2026-07-27T08:36:13Z	rotate-prompt	game	200	present	discard:パンダ:捨てる 選んだ牌を捨てる
2	2026-07-27T08:37:31Z	rotate-prompt	game	200	present	discard:キリン:捨てる 選んだ牌を捨てる
3	2026-07-27T08:38:48Z	rotate-prompt	game	200	present	discard:ウサギ:捨てる 選んだ牌を捨てる
4	2026-07-27T08:40:06Z	rotate-prompt	game	200	present	discard:テントウムシ:捨てる 選んだ牌を捨てる
5	2026-07-27T08:41:24Z	rotate-prompt	game	200	present	discard:アヒル:捨てる 選んだ牌を捨てる
6	2026-07-27T08:42:37Z	rotate-prompt	result	200	present	もう一局 同じメンバーで再戦する
7	2026-07-27T08:43:54Z	rotate-prompt	game	200	present	discard:アヒル:捨てる 選んだ牌を捨てる
8	2026-07-27T08:45:10Z	rotate-prompt	game	200	present	discard:ヘビ:捨てる 選んだ牌を捨てる
9	2026-07-27T08:46:24Z	rotate-prompt	game	200	present	wait
10	2026-07-27T08:47:41Z	rotate-prompt	game	200	present	discard:キリン:捨てる 選んだ牌を捨てる
11	2026-07-27T08:48:59Z	rotate-prompt	game	200	present	discard:カメ:捨てる 選んだ牌を捨てる
12	2026-07-27T08:50:19Z	rotate-prompt	game	200	present	discard:さかな:捨てる 選んだ牌を捨てる
13	2026-07-27T08:51:37Z	rotate-prompt	game	200	present	discard:ゾウ:捨てる 選んだ牌を捨てる
14	2026-07-27T08:52:56Z	rotate-prompt	game	200	present	discard:ワシ:捨てる 選んだ牌を捨てる
15	2026-07-27T08:54:10Z	rotate-prompt	result	200	present	もう一局 同じメンバーで再戦する
16	2026-07-27T08:55:27Z	rotate-prompt	game	200	present	discard:キリン:捨てる 選んだ牌を捨てる
17	2026-07-27T08:56:44Z	rotate-prompt	game	200	present	discard:イルカ:捨てる 選んだ牌を捨てる
18	2026-07-27T08:58:01Z	rotate-prompt	game	200	present	discard:カエル:捨てる 選んだ牌を捨てる
19	2026-07-27T08:59:18Z	rotate-prompt	game	200	present	discard:テントウムシ:捨てる 選んだ牌を捨てる
20	2026-07-27T09:00:36Z	rotate-prompt	game	200	present	discard:ペンギン:捨てる 選んだ牌を捨てる
21	2026-07-27T09:01:54Z	rotate-prompt	game	200	present	discard:ハチ:捨てる 選んだ牌を捨てる
22	2026-07-27T09:03:13Z	rotate-prompt	game	200	present	discard:ライオン:捨てる 選んだ牌を捨てる
23	2026-07-27T09:04:32Z	rotate-prompt	game	200	present	discard:ワシ:捨てる 選んだ牌を捨てる
24	2026-07-27T09:05:51Z	rotate-prompt	game	200	present	discard:キリン:捨てる 選んだ牌を捨てる
# startedAtUtc=2026-07-27T08:35:10Z endedAtUtc=2026-07-27T09:06:04Z durationSeconds=1854 cycles=24
